MISSING FUNCTIONS REPORT
================================================================================

Total functions in symbols.txt: 18539
Functions in asm_decomp: 10876
Functions matched: 9880
Missing functions: 1261

ALL MISSING FUNCTIONS (sorted by size):
--------------------------------------------------------------------------------
0x8038DDBC     36B  GXGetTlutObjAll
0x8038F06C     36B  GXSetNumIndStages
0x8038F4B4     36B  __GXFlushTextureState
0x80390A14     36B  WriteMTXPS4x2
0x80390DF4     36B  GXGetViewportv
0x8039AC04     36B  _savefpr_24
0x8039AC50     36B  _savegpr_24
0x8039AC9C     36B  _restfpr_24
0x8039ACE8     36B  _restgpr_24
0x8039AD40     36B  _restfpr_27_x
0x8039AD98     36B  _restgpr_27_x
0x80089D78     40B  EGameState__EGameState_void
0x80090F7C     40B  LoadingScreenStateMachine__IsFadingIn_void
0x801104B4     40B  __tcf_0_6
0x801386DC     40B  Room__Rotate_Room__Sides__int
0x801752A4     40B  CasTweakTool__CasTweakTool_void
0x80181678     40B  UIButtonImages__GetButtonMinSize_int
0x8019314C     40B  CASTarget__GetLotNumberFromMode_int
0x8023F4A0     40B  SNWiggleSelect
0x8024AF7C     40B  PPCMtfpscr
0x8024AFF0     40B  PPCEnableSpeculation
0x8024B018     40B  PPCDisableSpeculation
0x8024B184     40B  DisableWriteGatherPipe
0x8024B1AC     40B  OSGetConsoleType
0x8024CDC4     40B  LCDisable
0x80257D68     40B  UnlockedHandler
0x8025A844     40B  DBInit
0x8025AA4C     40B  C_VECScale
0x8025AF70     40B  PSVECSquareDistance
0x8025C59C     40B  stateGettingError
0x8025CA54     40B  stateGoToRetry
0x8025D214     40B  stateMotorStopped
0x8025E6B8     40B  cbForCancelStreamSync
0x8025E83C     40B  cbForStopStreamAtEndSync
0x8025E9C0     40B  cbForGetStreamErrorStatusSync
0x8025EB44     40B  cbForGetStreamPlayAddrSync
0x8025ECC8     40B  cbForGetStreamStartAddrSync
0x8025EE4C     40B  cbForGetStreamLengthSync
0x80267200     40B  AISetStreamSampleRate
0x802685F0     40B  DBGEXISelect
0x802B5B44     40B  DOGMA_PoolManager__GetTotalBytesUsed_void
0x802D7374     40B  FastAllocPool__Alloc_void
0x802F24A4     40B  EMirrorPortal__GetCorner_int__const
0x80303708     40B  PEmitterSetState
0x80305DA0     40B  EDebugMenu__EDebugMenu_void
0x803069E0     40B  ilog2_unsigned_int
0x8030EB48     40B  BSplineVolume__GetNumVolumes_void
0x80317790     40B  ERFont__New_void
0x803208DC     40B  ERShader__GetTimeState_void
0x80321C70     40B  ArcFileInfo__IsUpToDate_void
0x80327F30     40B  EScratchBuffMan__EScratchBuffMan_void
0x80337644     40B  AudioDecoder_void_ptr
0x8033B4E4     40B  ClearXFB_unsigned_char_ptr__int
0x8034FF3C     40B  ENgcTextureBase__GetPaletteLocation_void
0x80361548     40B  EStringTableNoCase__EStringTableNoCase_void
