# Sims 2 GC Decomp — TU Work Queue
# Generated: 2026-03-29
# 439 TUs | 4654/16211 matched (28%)
# Unmatched functions: 11557
#
# Size distribution (unmatched):
#   <=20 bytes  (getter/setter tier): 517
#   <=100 bytes (easy grind tier):    4355
#   <=500 bytes (medium tier):        9993
#   >500 bytes  (complex tier):       1564
#
# Sorted by TU completion % DESC (closest-to-done first = easiest wins)
# TU_NAME | FUNC_ADDRESS | SIZE | FUNC_NAME | TU_COMPLETION_%
#==========================================================================================

e_instance | 0x802296A8 |    24 | EInstance::GetPos(EVec3 &) | 64.9%
e_instance | 0x80229704 |    24 | EInstance::IsShadow(void) | 64.9%
e_instance | 0x803C1450 |    52 | EStorable::~EStorable(void) | 64.9%
e_instance | 0x80229618 |    60 | EInstance::IsHidden(void) | 64.9%
e_instance | 0x8022922C |    68 | EInstance::SetInstAlpha(float) | 64.9%
e_instance | 0x80229528 |    76 | EInstance::GetLocationId(short &, short &) | 64.9%
e_instance | 0x80229574 |    80 | EInstance::GetOtherSide(short &, short &) | 64.9%
e_instance | 0x80228370 |    88 | EInstance::~EInstance(void) | 64.9%
e_instance | 0x802294AC |   124 | EInstance::ResetLocation(void) | 64.9%
e_instance | 0x80228848 |   144 | TruncateLightDirection(EVec3 &) | 64.9%
e_instance | 0x802283C8 |   160 | EInstance::Write(EStream &) | 64.9%
e_instance | 0x80228290 |   224 | EInstance::EInstance(void) | 64.9%
e_instance | 0x80228BA0 |   276 | EInstance::CalcShadowLightWeighted(EVec3 &, short) | 64.9%
e_instance | 0x80228A74 |   300 | EInstance::CalcShadowLight(EVec3 &, short) | 64.9%
e_instance | 0x80228468 |   344 | EInstance::Read(EStream &) | 64.9%
e_instance | 0x80228F00 |   380 | EInstance::CalcLights(EVec3 &, ELights &, bool) | 64.9%
e_instance | 0x8022907C |   380 | EInstance::CalcLights4(EVec3 &, ELights &, bool) | 64.9%
e_instance | 0x802288D8 |   412 | EInstance::ShadowDirAtPoint(EVec3 &, EVec3 &, int) | 64.9%
e_instance | 0x802285C0 |   444 | EInstance::Load(EFile &) | 64.9%
e_instance | 0x80228CB4 |   500 | EInstance::ShadowDirAtPointWeighted(EVec3 &, EVec3 &, int) | 64.9%

# --- e_ilight [26/41, 63.4%] ---
e_ilight | 0x80228008 |    12 | EILight::GetTypeInfo(void) const | 63.4%
e_ilight | 0x80228014 |    12 | EILight::GetTypeName(void) const | 63.4%
e_ilight | 0x80228020 |    12 | EILight::GetTypeKey(void) const | 63.4%
e_ilight | 0x8022802C |    12 | EILight::GetTypeVersion(void) const | 63.4%
e_ilight | 0x80228038 |    12 | EILight::GetTypeInfoStatic(void) | 63.4%
e_ilight | 0x80228044 |    12 | EILight::GetReadVersion(void) | 63.4%
e_ilight | 0x802281A8 |    12 | EILight::GetFalloffEnd(void) | 63.4%
e_ilight | 0x8022813C |    36 | EILight::GetIntensityScale(void) | 63.4%
e_ilight | 0x80228100 |    60 | EILight::GetPosition(EVec3 &) | 63.4%
e_ilight | 0x80227D64 |   124 | EILight::GetScaledIntensity(void) | 63.4%
e_ilight | 0x80227984 |   168 | EILight::EILight(void) | 63.4%
e_ilight | 0x80227C90 |   212 | EILight::GetScaledIntColor(float, unsigned int *) | 63.4%
e_ilight | 0x80227DE0 |   268 | EILight::TestOverlap(EInstance *) | 63.4%
e_ilight | 0x80227A2C |   276 | EILight::Write(EStream &) | 63.4%
e_ilight | 0x80227B40 |   284 | EILight::Read(EStream &) | 63.4%

# --- e_redithtreeset [17/27, 63.0%] ---
