# Decomp Progress Matrix
# Total: 3861 matched / 20508 functions
# Coverage: 18.8%

TU Name                                  Matched Total      %  Bar
engine_ngc_release_dvd.lib(e_resourceman)   24/90    26.7%  [#############.....................................]
engine_ngc_release_dvd.lib(e_scratchbuffman)    0/9      0.0%  [..................................................]
engine_ngc_release_dvd.lib(e_shaderman)     5/9     55.6%  [###########################.......................]
engine_ngc_release_dvd.lib(e_soundeventman)    5/9     55.6%  [###########################.......................]
engine_ngc_release_dvd.lib(e_soundtrackdataman)    3/8     37.5%  [##################................................]
engine_ngc_release_dvd.lib(e_textureman)    5/9     55.6%  [###########################.......................]
engine_ngc_release_dvd.lib(effects_attachmentman)    4/9     44.4%  [######################............................]
engine_ngc_release_dvd.lib(effects_emitterman)    2/7     28.6%  [##############....................................]
engine_ngc_release_dvd.lib(effects_sequencerman)    2/7     28.6%  [##############....................................]
engine_ngc_release_dvd.lib(eyetoymanager)    7/24    29.2%  [##############....................................]
engine_ngc_release_dvd.lib(freeresourcemanager)    1/7     14.3%  [#######...........................................]
engine_ngc_release_dvd.lib(imageprocmanager)    2/34     5.9%  [##................................................]
engine_ngc_release_dvd.lib(particleman)     3/9     33.3%  [################..................................]
engine_ngc_release_dvd.lib(e_ngcaudio)     10/39    25.6%  [############......................................]
engine_ngc_release_dvd.lib(e_ngcaudiosampleman)    4/25    16.0%  [########..........................................]
engine_ngc_release_dvd.lib(e_ngcclock)      2/12    16.7%  [########..........................................]
engine_ngc_release_dvd.lib(e_ngcctrlmanager)    1/9     11.1%  [#####.............................................]
engine_ngc_release_dvd.lib(e_ngcengine)     7/30    23.3%  [###########.......................................]
engine_ngc_release_dvd.lib(e_ngcgraphics)    1/26     3.8%  [#.................................................]
engine_ngc_release_dvd.lib(e_ngcmemorycard)   19/48    39.6%  [###################...............................]
engine_ngc_release_dvd.lib(e_ngcmovie)      3/70     4.3%  [##................................................]
