# CBMemberTranslator Type Table
# Generated: 04/07/2026 06:03:56
# Format: ADDR  SIZE  TEMPLATE_TYPE  T_PARAM  M_SIGNATURE

0x8034d154  120  CBMemberTranslator0  ?  ?
0x8034d064  120  CBMemberTranslator2  char_*  char_*)
0x8034cf34  120  CBMemberTranslator1  void_(INVTarget::*)(INVTarget_*  ERC_*)
0x8034cfec  120  CBMemberTranslator1wRet  char_*(INTTarget::*)(INTTarget_*  char_*)
0x8034cc64  120  CBMemberTranslator0  ?  ?
0x8034c7e4  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8034c85c  120  CBMemberTranslator1wRet  char_*(GOLTarget::*)(GOLTarget_*  char_*)
0x8034c76c  120  CBMemberTranslator0  ?  ?
0x8034c67c  120  CBMemberTranslator2  char_*  char_*)
0x8034c6f4  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x8034ca3c  120  CBMemberTranslator1  void_(GOLTarget::*)(GOLTarget_*  ERC_*)
0x8034cbec  120  CBMemberTranslator1  void_(INVTarget::*)(INVTarget_*  int)
0x8034c9c4  120  CBMemberTranslator0  ?  ?
0x8034c8d4  120  CBMemberTranslator2  char_*  char_*)
0x8034c94c  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(GOLTarget::*)(GOLTarget_*  char_*)
0x802ae700  120  CBMemberTranslator0  ?  ?
0x802ae778  120  CBMemberTranslator1  void_(CASTarget::*)(CASTarget_*  ERC_*)
0x802ae688  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(CASTarget::*)(CASTarget_*  char_*)
0x802ae598  120  CBMemberTranslator1wRet  char_*(CASTarget::*)(CASTarget_*  char_*)
0x802ae610  120  CBMemberTranslator2  char_*  char_*)
0x802ae958  120  CBMemberTranslator2  char_*  char_*)
0x802ae9d0  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x802ae8e0  120  CBMemberTranslator1wRet  char_*(CASBodyTarget::*)(CASBodyTarget_*  char_*)
0x802ae7f0  120  CBMemberTranslator1  void_(CASTarget::*)(CASTarget_*  int)
0x802ae868  120  CBMemberTranslator0  ?  ?
0x80291954  120  CBMemberTranslator1  void_(LoadGameTarget::*)(LoadGameTarget_*  int)
0x80295d54  120  CBMemberTranslator1wRet  char_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x802918dc  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x802917ec  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x80291864  120  CBMemberTranslator0  ?  ?
0x80295f34  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x80295fac  120  CBMemberTranslator1  void_(SaveGameTarget::*)(SaveGameTarget_*  int)
0x80295ebc  120  CBMemberTranslator0  ?  ?
0x80295dcc  120  CBMemberTranslator2  char_*  char_*)
0x80295e44  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x802aea48  120  CBMemberTranslator0  ?  ?
0x802af0d8  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(CASFashionTarget::*)(CASFashionTarget_*  char_*)
0x802af150  120  CBMemberTranslator0  ?  ?
